Provinsi,Rencana_Jumlah_KPM,Realisasi_Jumlah_KPM,Rencana_Anggaran,Realisasi_Anggaran
Aceh,1959397.0,1932814.0,1175640000000.0,1159690000000.0
Sumatera Utara,3146951.0,3074198.0,1888170000000.0,1844520000000.0
Sumatera Barat,1297888.0,1273639.0,778733000000.0,764183000000.0
Riau,1087061.0,1052412.0,652237000000.0,631447000000.0
Jambi,698729.0,684629.0,419237000000.0,410777000000.0
Sumatera Selatan,1884389.0,1844008.0,1130630000000.0,1106400000000.0
Bengkulu,566425.0,552843.0,339855000000.0,331706000000.0
Lampung,2817253.0,2773343.0,1690350000000.0,1664010000000.0
Kepulauan Bangka Belitung,172272.0,168012.0,103363000000.0,100807000000.0
Kepulauan Riau,251183.0,239773.0,150710000000.0,143864000000.0
DKI Jakarta,841362.0,812769.0,504817000000.0,487661000000.0
Jawa Barat,15578437.0,15381114.0,9347060000000.0,9228670000000.0
Jawa Tengah,12500023.0,12319492.0,7500010000000.0,7391700000000.0
DI Yogyakarta,1326838.0,1305356.0,796103000000.0,783214000000.0
Jawa Timur,11990432.0,11806155.0,7194260000000.0,7083690000000.0
Banten,2229101.0,2197612.0,1337460000000.0,1318570000000.0
Bali,614103.0,598381.0,368462000000.0,359029000000.0
Nusa Tenggara Barat,2043969.0,1998584.0,1226380000000.0,1199150000000.0
Nusa Tenggara Timur,2470193.0,2355814.0,1482120000000.0,1413490000000.0
Kalimantan Barat,1215823.0,1185869.0,729494000000.0,711521000000.0
Kalimantan Tengah,378077.0,361252.0,226846000000.0,216751000000.0
Kalimantan Selatan,628262.0,613042.0,376957000000.0,367825000000.0
Kalimantan Timur,355515.0,330300.0,213309000000.0,198180000000.0
Kalimantan Utara,94609.0,88967.0,56765400000.0,53380200000.0
Sulawesi Utara,538120.0,523426.0,322872000000.0,314056000000.0
Sulawesi Tengah,858611.0,835730.0,515167000000.0,501438000000.0
Sulawesi Selatan,2467673.0,2406145.0,1480600000000.0,1443690000000.0
Sulawesi Tenggara,752113.0,730416.0,451268000000.0,438250000000.0
Gorontalo,457776.0,451196.0,274666000000.0,270718000000.0
Sulawesi Barat,428465.0,418930.0,257079000000.0,251358000000.0
Maluku,400759.0,384321.0,240455000000.0,230593000000.0
Maluku Utara,220901.0,207123.0,132541000000.0,124274000000.0
Papua Barat,239622.0,219207.0,143773000000.0,131524000000.0
Papua Barat Daya,232768.0,204273.0,139661000000.0,122564000000.0
Papua,355721.0,319418.0,213433000000.0,191651000000.0
Papua Selatan,258004.0,257892.0,154802000000.0,154735000000.0
Papua Tengah,925519.0,900736.0,555311000000.0,540442000000.0
Papua Pegunungan,788656.0,788349.0,473194000000.0,473009000000.0
,1975605.2631578948,1936777.3684210526,1185362905263.158,1162066768421.0527
