Provinsi,Rencana_Jumlah_KPM,Realisasi_Jumlah_KPM,Rencana_Anggaran,Realisasi_Anggaran
Aceh,-0.15692914305928338,-0.15583773930738526,-0.1569288621472702,-0.15583755334276983
Sumatera Utara,-0.05835110096105094,-0.05924336313386215,-0.058351150722519396,-0.0592431847621634
Sumatera Barat,-0.21184055091977616,-0.2116231699023315,-0.21184049212560596,-0.2116232942335163
Riau,-0.22934115542402947,-0.23034542644153302,-0.22934106920219963,-0.2303455320267137
Jambi,-0.26157632809330666,-0.2614705950545737,-0.26157635299651977,-0.26147074458265085
Sumatera Selatan,-0.16315550563454667,-0.1633533170362354,-0.16315594422273094,-0.16335403758215847
Bengkulu,-0.2725587922858946,-0.27262353434442177,-0.2725587620015014,-0.2726236048808812
Lampung,-0.08571910555175001,-0.08470447091501669,-0.08571932171046967,-0.08470388226736215
Kepulauan Bangka Belitung,-0.3052771621681438,-0.30519146098193645,-0.3052771600061639,-0.30519160440031445
Kepulauan Riau,-0.29872681424290115,-0.29911838739006186,-0.2987267566507576,-0.29911847131914804
DKI Jakarta,-0.24973646070319458,-0.2506262137044976,-0.2497364577728377,-0.2506263577509534
Jawa Barat,0.9735780157372947,0.9822806757872637,0.9735777588938611,0.9822814370483369
Jawa Tengah,0.7180409834105221,0.723178158869965,0.7180405016736935,0.7231792405155966
DI Yogyakarta,-0.20943743129848413,-0.20893898663964722,-0.209437372471068,-0.20893899677508498
Jawa Timur,0.6757401844145351,0.6797348766075644,0.6757403384972412,0.6797348361137558
Banten,-0.13454119921330948,-0.13342810536999297,-0.13454125002882864,-0.1334277388193308
Bali,-0.26860107424430696,-0.2687696913764198,-0.26860101623538934,-0.2687697317551012
Nusa Tenggara Barat,-0.14990887941120362,-0.15027167904989733,-0.1499090411184127,-0.15027177236911107
Nusa Tenggara Timur,-0.11452831784071754,-0.12003960202720587,-0.11452770430485287,-0.12003939796733663
Kalimantan Barat,-0.21865271021930396,-0.21905107181505334,-0.21865265151937646,-0.21905119990089636
Kalimantan Tengah,-0.28819343043550116,-0.28883772091569093,-0.2881934280371766,-0.28883785606757517
Kalimantan Selatan,-0.26742574537667746,-0.26752894317153875,-0.26742574269104274,-0.26752906755225525
Kalimantan Timur,-0.2900662865631554,-0.2914571628662727,-0.2900662565209694,-0.29145727113249703
Kalimantan Utara,-0.3117239144703339,-0.31188097342002574,-0.31172388472776996,-0.3118810920100843
Sulawesi Utara,-0.2749083709000801,-0.2751130705249679,-0.27490834064819214,-0.27511311411010264
Sulawesi Tengah,-0.2483046330573339,-0.24868304342059644,-0.24830454709785396,-0.24868313006534526
Sulawesi Selatan,-0.11473750131034297,-0.1157801314658614,-0.11473799456823212,-0.11577972778475948
Sulawesi Tenggara,-0.2571449589097815,-0.2575956794242012,-0.2571449007423744,-0.2575957141546395
Gorontalo,-0.28157767117134386,-0.2812258351957655,-0.2815775856721793,-0.2812258818707824
Sulawesi Barat,-0.2840107571547529,-0.28395647987066447,-0.2840107270287917,-0.28395658434544113
Maluku,-0.2863106131902457,-0.28688541068184586,-0.28631063843564486,-0.2868854602176668
Maluku Utara,-0.3012405022695666,-0.3018815296647613,-0.3012404170424271,-0.30188161499056154
Papua Barat,-0.2996864849144644,-0.30085887082104096,-0.2996864826751404,-0.3008590120493799
Papua Barat Daya,-0.3002554307481202,-0.30212272278828023,-0.3002553731771243,-0.30212280823599885
Papua,-0.29004918664460666,-0.2923780974522843,-0.2900491012626411,-0.29237817797428667
Papua Selatan,-0.2981606077165857,-0.2975849915286444,-0.2981606331259234,-0.29758513110210183
Papua Tengah,-0.24275064592015233,-0.2431816398460448,-0.24275067056292182,-0.2431816672904698
Papua Pegunungan,-0.2541115495722729,-0.2526928579418073,-0.25411146369312865,-0.25269300303291103
Indonesia,5.9121808380341685,5.9090882642255735,5.912180953881243,5.909087905044663
